ENSG_names,inv16-R-49-CR,inv16-R-49-Dx,inv16-R-52-CR,inv16-R-52-Dx,inv16-R-53-CR,inv16-R-53-Dx,inv16-R-55-CR,inv16-R-55-Dx,inv16-R-58-CR,inv16-R-58-Dx,inv16-R-59-CR,inv16-R-59-Dx,inv16-R-61-CR,inv16-R-61-Dx,inv16-R-62-CR,inv16-R-62-Dx,inv16-R-63-CR,inv16-R-63-Dx,inv16-R-65-CR,inv16-R-65-Dx,inv16-R-66-CR,inv16-R-66-Dx,inv16-R-67-CR,inv16-R-67-Dx,inv16-R-68-CR,inv16-R-68-Dx,inv16-R-70-CR,inv16-R-70-Dx,inv16-R-71-CR,inv16-R-71-Dx,inv16-R-72-CR,inv16-R-72-Dx,inv16-R-73-CR,inv16-R-73-Dx,inv16-R-74-CR,inv16-R-74-Dx,inv16-R-75-CR,inv16-R-75-Dx,t8_21-R-10-CR,t8_21-R-10-Dx,t8_21-R-11-CR,t8_21-R-11-Dx,t8_21-R-15-CR,t8_21-R-15-Dx,t8_21-R-16-CR,t8_21-R-16-Dx,t8_21-R-18-CR,t8_21-R-18-Dx,t8_21-R-20-CR,t8_21-R-20-Dx,t8_21-R-21-CR,t8_21-R-21-Dx,t8_21-R-22-CR,t8_21-R-22-Dx,t8_21-R-23-CR,t8_21-R-23-Dx,t8_21-R-31-CR,t8_21-R-31-Dx,t8_21-R-32-CR,t8_21-R-32-Dx,t8_21-R-33-CR,t8_21-R-33-Dx,t8_21-R-34-CR,t8_21-R-34-Dx,t8_21-R-35-CR,t8_21-R-35-Dx,t8_21-R-37-CR,t8_21-R-37-Dx,t8_21-R-38-CR,t8_21-R-38-Dx,t8_21-R-39-CR,t8_21-R-39-Dx,t8_21-R-40-CR,t8_21-R-40-Dx,t8_21-R-46-CR,t8_21-R-46-Dx,t8_21-R-5-CR,t8_21-R-5-Dx,t8_21-R-7-CR,t8_21-R-7-Dx,t8_21-R-8-CR,t8_21-R-8-Dx,t8_21-R-9-CR,t8_21-R-9-Dx
ENSG00000002016.12,228,359,268,493,320,414,263,538,299,666,196,391,157,636,320,582,250,421,197,590,176,416,212,426,348,788,260,314,261,445,386,102,318,507,77,577,302,423,368,799,251,435,421,592,298,468,250,411,275,653,113,876,214,484,247,542,305,333,345,965,349,525,355,591,502,540,329,753,204,705,45,655,298,618,214,789,138,378,332,492,261,404,93,468
ENSG00000002745.8,0,3,1,1,1,3,0,6,0,3,0,5,0,2,0,1,0,3,0,0,0,1,3,2,0,6,0,2,0,1,0,0,0,4,0,4,0,0,1,0,0,7,0,3,1,10,0,0,0,1,0,14,0,9,1,48,0,10,1,0,0,1,0,3,4,7,0,0,0,0,0,9,0,13,0,8,0,0,0,2,0,10,0,9
ENSG00000002746.10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,0,1,2,1,0,0,0,0,1,1,0,0,0,0,0,0,5,0,1,0,0,6,1,0,2,0,0,1,0,0,4,0,0,2,0,1,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,1,0,2,0,1,1,2,1,0,0
ENSG00000002834.13,8507,7615,9580,7390,7818,10525,9111,9105,8193,7852,6238,10244,6959,9421,10152,6630,6207,6316,8878,5614,9013,5037,9477,11009,6238,6390,5621,8752,8211,11095,9149,5186,7142,4767,5919,12097,5988,7765,9301,2950,9471,7228,8851,5487,7778,6037,6785,3347,9475,2800,4581,6092,6320,8048,6127,5780,8106,4709,8084,3834,10304,4948,10214,4609,10215,6639,6767,3784,10534,4852,11386,3389,8669,4718,6725,5113,7643,6831,7863,4392,6200,5644,4781,3757
ENSG00000004455.12,1710,1938,2392,1660,2414,1888,2512,2516,2148,2564,1503,1776,1878,1866,1563,1999,1635,1684,1888,2415,1887,1972,1464,1660,2145,2181,1947,1788,1561,2002,2018,1293,2169,1680,1317,2765,2202,1650,1993,2235,1636,1551,2385,2194,1973,2290,1848,1600,1816,1974,1305,1868,1948,2251,2028,2150,1816,1854,2071,3888,2078,1520,2370,2253,2973,2198,1539,2153,1635,2273,1157,2246,2672,2101,1423,1720,1136,2207,2501,2039,2290,2052,1036,1651
ENSG00000004487.11,2717,4008,4956,3613,4776,4083,4339,4315,3764,5272,2822,3748,2915,3536,3239,4098,2841,3384,2953,4894,3753,4562,2695,3776,4033,5761,3454,3327,2570,3494,3348,3841,4207,4612,1906,6749,4556,3718,3163,6014,2443,5456,3958,5173,4509,4406,3606,4645,2636,5384,2066,5043,3026,5071,3197,5398,3356,3361,3729,9398,3945,6267,3888,5590,4993,5435,2625,6761,3391,6276,1612,6085,3609,4312,2853,4959,2349,4281,4179,5570,3519,5083,1751,4393
ENSG00000004534.10,5158,6419,7253,6551,6331,6761,6441,7527,5897,6985,4641,6880,4343,7980,6153,7397,3875,6047,4014,6113,5924,7865,5627,6483,4533,6486,5361,5099,5049,6582,5469,2606,4603,5458,3457,9356,6037,6426,4788,7712,5833,7075,6020,8522,4378,5726,4142,4773,5547,6516,2273,7360,4653,6137,4160,6701,5231,6031,6087,9423,8098,6913,7920,6073,9256,6454,5629,7894,7382,9010,2029,8192,5621,7182,4792,7896,3795,6851,5870,5418,4133,7016,3122,6371
ENSG00000005073.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005339.8,11888,10630,13805,11139,11786,14095,10887,12681,12061,9934,11399,14145,10174,11543,13747,8601,8719,11695,10390,8925,14200,9686,12457,14878,9234,10195,10910,12838,13334,17740,12072,13863,9993,10329,11990,13666,11220,13421,11268,7562,14783,12977,12717,10813,10941,11769,9995,9065,11147,7585,9632,11628,11336,9645,10966,11177,10326,9264,12654,9205,13613,10006,13876,9453,14265,13750,11706,8803,15873,8533,17449,8080,11736,9689,9874,9113,11434,14033,12066,7000,8753,10276,11253,7541
ENSG00000005893.11,6807,7318,6339,6318,4913,9166,5259,6263,5446,7592,4583,7486,5049,5640,4770,4339,4628,6862,5890,5518,5065,4392,4746,7789,4691,6098,5292,6988,5137,7169,5121,6371,5417,8080,3977,10234,4197,8336,3924,5486,4546,2576,5324,5652,3863,5225,4928,3549,4344,2700,3804,5894,4996,5489,4324,4034,4330,2831,5742,4671,5256,5874,6902,5323,6310,4923,4108,4945,6857,6278,6112,2925,4835,6249,4020,4443,3313,5905,5167,3379,3548,3668,4758,3424
