"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000184937.8",170.671959814265,-7.44217964821437,0.318583230045308,-23.3602366551308,1.08462254304621e-120,1.37747062966869e-117
"ENSG00000077782.15",1047.07883286317,-3.17507601806132,0.136168301244121,-23.3172918296826,2.9604597170816e-120,1.87989192034682e-117
"ENSG00000159216.14",5949.53347733589,-1.51818881986037,0.0657043635746615,-23.1063621540937,3.99598984452942e-118,1.69163570085079e-115
"ENSG00000156299.8",898.543641482901,4.07944812435211,0.178183314898715,22.8946696084928,5.25052619979357e-116,1.66704206843446e-113
"ENSG00000106976.14",517.973278092595,-3.79130673253075,0.171549412389686,-22.1003772599264,3.13437402524637e-108,7.96131002412579e-106
"ENSG00000164136.12",127.878089639364,4.32265748555154,0.229646606774478,18.8230845047781,4.88558525596999e-79,1.03411554584698e-76
"ENSG00000122778.5",757.685097722995,-4.08821915975395,0.218024973521293,-18.7511508141735,1.89446825405841e-78,3.43710668950598e-76
"ENSG00000127955.11",458.256699391465,-2.91539378862448,0.158736657135376,-18.3662289557864,2.44844002367313e-75,3.8868985375811e-73
"ENSG00000165092.8",3276.13130779663,6.13192173722896,0.337431135945178,18.1723649184087,8.54353261044126e-74,1.20558737947338e-71
"ENSG00000121989.10",382.031663460277,3.19176693834099,0.184953073311275,17.2571716771057,9.88348132770994e-67,1.25520212861916e-64
"ENSG00000135605.8",1447.4064953845,-2.29464736906267,0.13697711736696,-16.7520489054777,5.47091276811066e-63,6.31641746863685e-61
"ENSG00000156011.12",742.454696960877,-3.67838810805831,0.225377936413063,-16.3209769625218,7.00062193226224e-60,7.40899154497754e-58
"ENSG00000158715.5",931.802112428362,-4.28582868524173,0.268251963732624,-15.9768772075554,1.8519402528043e-57,1.80920317004728e-55
"ENSG00000180611.6",67.6315625058833,3.80938406508937,0.239511956691921,15.9047761861396,5.87127544672212e-57,5.32608558381221e-55
"ENSG00000122025.10",7433.50304492728,-2.44533722618502,0.156120372637455,-15.6631526358422,2.70166211350642e-55,2.2874072561021e-53
"ENSG00000139083.6",4603.46663472559,-1.16930496262457,0.076819194957686,-15.2215206533817,2.54544963125349e-52,2.02045064480745e-50
"ENSG00000196535.10",12574.0557531417,-1.32862015975494,0.0873414619283821,-15.2117920907298,2.95346019776814e-52,2.20640850068561e-50
"ENSG00000157404.11",4027.10954073116,-3.52711281872038,0.239298838452218,-14.7393645599523,3.60157554523909e-49,2.54111163469647e-47
"ENSG00000067369.9",3504.51892517047,-1.2464529261268,0.0847879278195164,-14.7008301556804,6.3674289572289e-49,4.25612356614774e-47
"ENSG00000037280.11",541.687362129919,-4.15177060485971,0.285117757236526,-14.5615995478511,4.9290820989268e-48,3.12996713281852e-46
"ENSG00000105974.7",617.204708070241,-5.88015360961674,0.408041600510904,-14.4106718585906,4.43376240140109e-47,2.68137059513304e-45
"ENSG00000161638.6",11390.5510530006,-1.02722986487297,0.0713496839590739,-14.3971186398273,5.39460699228271e-47,3.11415949099957e-45
"ENSG00000198400.7",229.928147646451,-4.46603415254358,0.311808557742645,-14.3230005772634,1.5718715508961e-46,8.67946465060021e-45
